template,zone,element,attr,control_name
1,3,5,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[4][0]
1,3,6,text,MOTION32_SCREEN_MENU_TEXT_ROW[5][0]
1,3,6,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[5][0]
1,3,6,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[5][0]
1,3,6,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[5][0]
1,4,0,color,MOTION32_SCREEN_MENU_MENU_BACKGROUND[1]
1,4,1,text,MOTION32_SCREEN_MENU_TEXT_ROW[0][1]
1,4,1,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[0][1]
1,4,1,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[0][1]
1,4,1,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[0][1]
1,4,2,text,MOTION32_SCREEN_MENU_TEXT_ROW[1][1]
1,4,2,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[1][1]
1,4,2,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[1][1]
1,4,2,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[1][1]
1,4,3,text,MOTION32_SCREEN_MENU_TEXT_ROW[2][1]
1,4,3,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[2][1]
1,4,3,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[2][1]
1,4,3,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[2][1]
1,4,4,text,MOTION32_SCREEN_MENU_TEXT_ROW[3][1]
1,4,4,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[3][1]
1,4,4,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[3][1]
1,4,4,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[3][1]
1,4,5,text,MOTION32_SCREEN_MENU_TEXT_ROW[4][1]
1,4,5,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[4][1]
1,4,5,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[4][1]
1,4,5,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[4][1]
1,4,6,text,MOTION32_SCREEN_MENU_TEXT_ROW[5][1]
1,4,6,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[5][1]
1,4,6,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[5][1]
1,4,6,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[5][1]
2,0,0,color,MOTION32_SCREEN_MIXER_BACKGROUND
2,1,0,color,MOTION32_SCREEN_MIXER_CHANNEL_BACKGROUND[0]
2,1,1,text,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER[0]
2,1,1,visible,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER_VISIBLE[0]
2,1,2,value,MOTION32_SCREEN_MIXER_CHANNEL_FADER[0]
2,1,2,visible,MOTION32_SCREEN_MIXER_CHANNEL_FADER_VISIBLE[0]
2,1,3,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE[0]
2,1,3,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE_VISIBLE[0]
2,1,4,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO[0]
2,1,4,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO_VISIBLE[0]
2,1,5,color,MOTION32_SCREEN_MIXER_CHANNEL_LABEL_BACKGROUND[0]
2,1,6,text,MOTION32_SCREEN_MIXER_CHANNEL_LABEL[0]
2,1,7,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT[0]
2,1,7,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_VISIBLE[0]
2,1,7,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_BACKGROUND[0]
2,1,8,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT[0]
2,1,8,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_VISIBLE[0]
2,1,8,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_BACKGROUND[0]
2,2,0,color,MOTION32_SCREEN_MIXER_CHANNEL_BACKGROUND[1]
2,2,1,text,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER[1]
2,2,1,visible,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER_VISIBLE[1]
2,2,2,value,MOTION32_SCREEN_MIXER_CHANNEL_FADER[1]
2,2,2,visible,MOTION32_SCREEN_MIXER_CHANNEL_FADER_VISIBLE[1]
2,2,3,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE[1]
2,2,3,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE_VISIBLE[1]
2,2,4,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO[1]
2,2,4,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO_VISIBLE[1]
2,2,5,color,MOTION32_SCREEN_MIXER_CHANNEL_LABEL_BACKGROUND[1]
2,2,6,text,MOTION32_SCREEN_MIXER_CHANNEL_LABEL[1]
2,2,7,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT[1]
2,2,7,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_VISIBLE[1]
2,2,7,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_BACKGROUND[1]
2,2,8,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT[1]
2,2,8,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_VISIBLE[1]
2,2,8,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_BACKGROUND[1]
2,3,0,color,MOTION32_SCREEN_MIXER_CHANNEL_BACKGROUND[2]
2,3,1,text,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER[2]
2,3,1,visible,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER_VISIBLE[2]
2,3,2,value,MOTION32_SCREEN_MIXER_CHANNEL_FADER[2]
2,3,2,visible,MOTION32_SCREEN_MIXER_CHANNEL_FADER_VISIBLE[2]
2,3,3,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE[2]
2,3,3,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE_VISIBLE[2]
2,3,4,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO[2]
2,3,4,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO_VISIBLE[2]
2,3,5,color,MOTION32_SCREEN_MIXER_CHANNEL_LABEL_BACKGROUND[2]
2,3,6,text,MOTION32_SCREEN_MIXER_CHANNEL_LABEL[2]
2,3,7,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT[2]
2,3,7,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_VISIBLE[2]
2,3,7,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_BACKGROUND[2]
2,3,8,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT[2]
